Location,Fighter 1,Fighter 2,Fighter_1_KD,Fighter_2_KD,Fighter_1_STR,Fighter_2_STR,Fighter_1_TD,Fighter_2_TD,Fighter_1_SUB,Fighter_2_SUB,Weight_Class,Method,Round,Time,Event Name,Date,Winner
"Seoul, South Korea",Benson Henderson,Jorge Masvidal,0,0,86,77,3,1,0,1,Welterweight,S-DEC,5,5:00,UFC Fight Night,2015-11-28 0:00:00,Benson Henderson
"Seattle, Washington, USA",Demetrious Johnson,John Moraga,0,0,67,32,12,1,3,0,Flyweight,SUB Armbar,5,3:43,UFC on FOX,2013-07-27 0:00:00,Demetrious Johnson
"Seattle, Washington, USA",Robbie Lawler,Bobby Voelker,1,0,28,10,1,0,0,0,Welterweight,KO/TKO Kick,2,0:24,UFC on FOX,2013-07-27 0:00:00,Robbie Lawler
"Seattle, Washington, USA",Germaine de Randamie,Julie Kedzie,0,0,50,28,0,2,0,0,Women's Bantamweight,S-DEC,3,5:00,UFC on FOX,2013-07-27 0:00:00,Germaine de Randamie
"Seattle, Washington, USA",Benson Henderson,Nate Diaz,1,0,124,30,8,0,0,2,Lightweight,U-DEC,5,5:00,UFC on FOX,2012-12-08 0:00:00,Benson Henderson
"Seattle, Washington, USA",Johny Hendricks,TJ Waldburger,1,0,7,3,0,0,0,0,Welterweight,KO/TKO Punch,1,1:35,UFC Fight Night,2011-03-26 0:00:00,Johny Hendricks
"Saskatoon, Saskatchewan, Canada",Max Holloway,Charles Oliveira,0,0,14,5,0,0,0,0,Featherweight,KO/TKO,1,1:39,UFC Fight Night,2015-08-23 0:00:00,Max Holloway
"Sao Paulo, Sao Paulo, Brazil",Jan Blachowicz,Jacare Souza,0,0,71,20,0,0,0,0,Light Heavyweight,S-DEC,5,5:00,UFC Fight Night,2019-11-16 0:00:00,Jan Blachowicz
"Sao Paulo, Sao Paulo, Brazil",Mauricio Rua,Paul Craig,0,0,25,51,1,1,0,1,Light Heavyweight,S-DEC,3,5:00,UFC Fight Night,2019-11-16 0:00:00,Mauricio Rua
"Sao Paulo, Sao Paulo, Brazil",Charles Oliveira,Jared Gordon,1,0,10,7,0,0,0,0,Lightweight,KO/TKO Punch,1,1:26,UFC Fight Night,2019-11-16 0:00:00,Charles Oliveira
"Sao Paulo, Sao Paulo, Brazil",Charles Oliveira,Christos Giagos,0,0,28,18,2,0,1,0,Lightweight,SUB Rear Naked Choke,2,3:22,UFC Fight Night,2018-09-22 0:00:00,Charles Oliveira
"Sao Paulo, Sao Paulo, Brazil",Deiveson Figueiredo,Jarred Brooks,0,0,19,30,1,7,5,0,Flyweight,S-DEC,3,5:00,UFC Fight Night,2017-10-28 0:00:00,Deiveson Figueiredo
"Sao Paulo, Sao Paulo, Brazil",Kamaru Usman,Warlley Alves,0,0,71,25,1,0,1,1,Welterweight,U-DEC,3,5:00,UFC Fight Night,2016-11-19 0:00:00,Kamaru Usman
"Sao Paulo, Sao Paulo, Brazil",Vitor Belfort,Dan Henderson,1,0,6,3,0,0,0,0,Middleweight,KO/TKO Kick,1,2:07,UFC Fight Night,2015-11-07 0:00:00,Vitor Belfort
"Sao Paulo, Sao Paulo, Brazil",Glover Teixeira,Patrick Cummins,0,0,54,33,0,4,0,0,Light Heavyweight,KO/TKO Punches,2,1:12,UFC Fight Night,2015-11-07 0:00:00,Glover Teixeira
"Sao Paulo, Brazil",Stipe Miocic,Fabio Maldonado,1,0,8,2,0,0,0,0,Heavyweight,KO/TKO Punch,1,0:35,UFC Fight Night,2014-05-31 0:00:00,Stipe Miocic
"Sao Paulo, Brazil",Vitor Belfort,Michael Bisping,1,0,18,14,0,0,0,0,Middleweight,KO/TKO Kick,2,1:27,UFC on FX,2013-01-19 0:00:00,Vitor Belfort
"Sao Paulo, Brazil",Khabib Nurmagomedov,Thiago Tavares,1,0,22,2,0,0,0,0,Lightweight,KO/TKO Elbows,1,1:55,UFC on FX,2013-01-19 0:00:00,Khabib Nurmagomedov
"Sao Paulo, Brazil",Frank Shamrock,John Lober,2,0,23,4,0,3,4,1,Middleweight,SUB Neck Crank,1,7:40,UFC - Ultimate Brazil,1998-10-16 0:00:00,Frank Shamrock
"Sao Paulo, Brazil",Vitor Belfort,Wanderlei Silva,1,0,7,1,0,0,0,0,Middleweight,KO/TKO Punches,1,0:44,UFC - Ultimate Brazil,1998-10-16 0:00:00,Vitor Belfort
"Sao Paulo, Brazil",Pat Miletich,Mikey Burnett,0,0,19,24,1,2,0,2,Lightweight,S-DEC,3,3:00,UFC - Ultimate Brazil,1998-10-16 0:00:00,Pat Miletich
"Santiago, Chile",Kamaru Usman,Demian Maia,1,0,66,27,0,0,0,0,Welterweight,U-DEC,5,5:00,UFC Fight Night,2018-05-19 0:00:00,Kamaru Usman
"Santiago, Chile",Alexandre Pantoja,Brandon Moreno,0,0,79,45,0,2,0,0,Flyweight,U-DEC,3,5:00,UFC Fight Night,2018-05-19 0:00:00,Alexandre Pantoja
"San Jose, California, USA",Robbie Lawler,Matt Brown,0,0,80,82,2,2,0,0,Welterweight,U-DEC,5,5:00,UFC on FOX,2014-07-26 0:00:00,Robbie Lawler
"San Jose, California, USA",Joanna Jedrzejczyk,Juliana Lima,0,0,46,18,0,1,0,0,Women's Strawweight,U-DEC,3,5:00,UFC on FOX,2014-07-26 0:00:00,Joanna Jedrzejczyk
"San Jose, California, USA",Benson Henderson,Gilbert Melendez,0,0,68,43,0,1,0,0,Lightweight,S-DEC,5,5:00,UFC on FOX,2013-04-20 0:00:00,Benson Henderson
"San Jose, California, USA",Daniel Cormier,Frank Mir,0,0,59,24,0,0,0,0,Heavyweight,U-DEC,3,5:00,UFC on FOX,2013-04-20 0:00:00,Daniel Cormier
"San Jose, California, USA",TJ Dillashaw,Hugo Viana,1,0,21,11,1,0,0,0,Bantamweight,KO/TKO Punches,1,4:22,UFC on FOX,2013-04-20 0:00:00,TJ Dillashaw
"San Jose, California, USA",Chris Weidman,Mark Munoz,1,0,28,0,2,0,2,0,Middleweight,KO/TKO Elbow,2,1:37,UFC on FUEL TV,2012-07-11 0:00:00,Chris Weidman
"San Jose, California, USA",TJ Dillashaw,Vaughan Lee,0,0,3,8,2,0,1,0,Bantamweight,SUB Rear Naked Choke,1,2:33,UFC on FUEL TV,2012-07-11 0:00:00,TJ Dillashaw
"San Jose, California, USA",Rafael Dos Anjos,Anthony Njokuani,0,0,51,32,6,0,0,0,Lightweight,U-DEC,3,5:00,UFC on FUEL TV,2012-07-11 0:00:00,Rafael Dos Anjos
"San Jose, California, USA",Chris Weidman,Tom Lawlor,0,0,3,2,1,0,1,0,Middleweight,SUB D'Arce Choke,1,2:07,UFC 139,2011-11-19 0:00:00,Chris Weidman
"San Diego, California, USA",Frank Mir,Todd Duffee,1,0,16,9,0,0,0,0,Heavyweight,KO/TKO Punch,1,1:13,UFC Fight Night,2015-07-15 0:00:00,Frank Mir
"San Diego, California, USA",Holly Holm,Marion Reneau,0,0,65,26,1,0,0,0,Women's Bantamweight,U-DEC,3,5:00,UFC Fight Night,2015-07-15 0:00:00,Holly Holm
"San Diego, California, USA",Jessica Andrade,Sarah Moras,0,0,50,18,3,0,0,1,Women's Bantamweight,U-DEC,3,5:00,UFC Fight Night,2015-07-15 0:00:00,Jessica Andrade
"San Diego, California, USA",Sean Strickland,Igor Araujo,1,0,71,39,3,0,2,0,Welterweight,U-DEC,3,5:00,UFC Fight Night,2015-07-15 0:00:00,Sean Strickland
"San Diego, California, USA",Jon Jones,Vladimir Matyushenko,0,0,15,0,1,0,0,0,Light Heavyweight,KO/TKO Elbows,1,1:52,UFC Live,2010-08-01 0:00:00,Jon Jones
"San Diego, California, USA",Charles Oliveira,Darren Elkins,0,0,3,0,0,1,2,0,Lightweight,SUB Triangle Armbar,1,0:41,UFC Live,2010-08-01 0:00:00,Charles Oliveira
"San Antonio, Texas, USA",Holly Holm,Yana Santos,0,0,32,21,4,0,0,0,Women's Bantamweight,U-DEC,3,5:00,UFC Fight Night,2023-03-25 0:00:00,Holly Holm
"San Antonio, Texas, USA",Leon Edwards,Rafael Dos Anjos,0,0,92,81,3,0,0,0,Welterweight,U-DEC,5,5:00,UFC Fight Night,2019-07-20 0:00:00,Leon Edwards
"San Antonio, Texas, USA",Andrei Arlovski,Ben Rothwell,0,0,152,70,0,0,0,0,Heavyweight,U-DEC,3,5:00,UFC Fight Night,2019-07-20 0:00:00,Andrei Arlovski
"San Antonio, Texas, USA",Raquel Pennington,Irene Aldana,0,0,47,52,1,0,0,0,Women's Bantamweight,S-DEC,3,5:00,UFC Fight Night,2019-07-20 0:00:00,Raquel Pennington
"Salt Lake City, Utah, USA",Alex Pereira,Jan Blachowicz,0,0,70,52,0,3,1,2,Light Heavyweight,S-DEC,3,5:00,UFC 291,2023-07-29 0:00:00,Alex Pereira
"Salt Lake City, Utah, USA",Leon Edwards,Kamaru Usman,1,0,55,83,1,5,1,0,Welterweight,KO/TKO Kick,5,4:04,UFC 278,2022-08-20 0:00:00,Leon Edwards
"Salt Lake City, Utah, USA",Merab Dvalishvili,Jose Aldo,0,0,57,38,0,0,0,0,Bantamweight,U-DEC,3,5:00,UFC 278,2022-08-20 0:00:00,Merab Dvalishvili
"Saitama, Saitama, Japan",Jessica Andrade,Claudia Gadelha,0,0,141,42,4,0,0,2,Women's Strawweight,U-DEC,3,5:00,UFC Fight Night,2017-09-22 0:00:00,Jessica Andrade
"Saitama, Japan",Josh Barnett,Roy Nelson,0,0,146,60,0,4,0,0,Heavyweight,U-DEC,5,5:00,UFC Fight Night,2015-09-26 0:00:00,Josh Barnett
